"team","state","year","value","value_int","supplier","value_add_05","value_add_10","value_add_15","value_sub_05","value_sub_10","value_sub_15","wage_value","wage_value_percent","wage_value_percent_int","ipca_value","access_date","source"
"Internacional","RS","2022","299.99","299","Adidas","313","328","343","284","269","254","1212.0","24.67","24","5.79","2025-02-17","https://ge.globo.com/rs/futebol/times/internacional/noticia/2022/05/13/inter-lanca-uniforme-reserva-para-a-temporada-2022-veja-fotos-e-precos.ghtml"
"Internacional","RS","2023","349.9","349","Adidas","366","383","401","331","314","296","1320.0","26.44","26","4.62","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"Internacional","RS","2024","349.9","349","Adidas","366","383","401","331","314","296","1412.0","24.72","24","4.83","2025-02-17","https://ge.globo.com/rs/futebol/times/internacional/noticia/2024/09/13/inter-lanca-terceira-camisa-para-a-temporada-veja-fotos-e-detalhes.ghtml"
"Atlético-MG","MG","2013","200.0","200","Lupo","210","220","229","190","180","170","678.0","29.5","29","5.91","2025-01-05","https://esportes.r7.com/futebol/fotos/valores-de-camisas-de-times-brasileiros-valem-mais-que-as-de-europeus-entenda-07082013/"
"Atlético-MG","MG","2014","229.9","229","Puma","240","251","263","217","206","194","724.0","31.63","31","6.41","2025-02-23","https://mantosdofutebol.com.br/2014/03/camisas-atletico-mg-2014-puma/"
"Atlético-MG","MG","2015","229.0","229","Puma","240","251","263","217","206","194","788.0","29.06","29","10.67","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Atlético-MG","MG","2016","229.9","229","Dryworld","240","251","263","217","206","194","880.0","26.02","26","6.29","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Atlético-MG","MG","2017","229.99","229","Topper","240","251","263","217","206","194","937.0","24.44","24","2.95","2025-02-23","https://atletico.com.br/atletico-e-topper-lancam-uniformes-2017/"
"Atlético-MG","MG","2018","249.9","249","Topper","261","273","286","236","224","211","954.0","26.1","26","3.75","2025-02-23","https://mantosdofutebol.com.br/2018/04/topper-lanca-teaser-novas-camisas-atletico-mg-2018-2019/"
"Atlético-MG","MG","2019","259.9","259","Le Coq Sportif","271","284","297","246","233","220","998.0","25.95","25","4.31","2025-02-23","https://ge.globo.com/futebol/times/atletico-mg/noticia/atletico-mg-apresenta-nova-camisa-para-temporada-e-projeta-lucros-com-vendas-de-uniforme.ghtml"
"Atlético-MG","MG","2020","259.99","259","Le Coq Sportif","271","284","297","246","233","220","1045.0","24.78","24","4.52","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"Atlético-MG","MG","2021","259.99","259","Le Coq Sportif","271","284","297","246","233","220","1100.0","23.55","23","10.06","2025-02-23","https://ge.globo.com/futebol/times/atletico-mg/noticia/com-homenagem-a-profissionais-da-saude-atletico-mg-divulga-uniforme-para-temporada-2021.ghtml"
"Atlético-MG","MG","2022","299.99","299","Adidas","313","328","343","284","269","254","1212.0","24.67","24","5.79","2025-02-23","https://mantosdofutebol.com.br/2022/07/novas-camisas-atletico-mg-2022-2023-adidas/"
"Atlético-MG","MG","2023","349.99","349","Adidas","366","383","401","331","314","296","1320.0","26.44","26","4.62","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"Atlético-MG","MG","2024","349.99","349","Adidas","366","383","401","331","314","296","1412.0","24.72","24","4.83","2025-02-23","https://atletico.com.br/galo-e-adidas-lancam-nova-camisa-para-temporada-2024/"
"Cruzeiro","MG","2013","199.9","199","Olympikus","208","218","228","189","179","169","678.0","29.35","29","5.91","2025-02-23","https://camisadefutebol.wordpress.com/2013/01/31/nova-camisa-do-cruzeiro-201314/"
"Cruzeiro","MG","2014","199.9","199","Olympikus","208","218","228","189","179","169","724.0","27.49","27","6.41","2025-02-23","https://mantosdofutebol.com.br/2014/04/camisas-cruzeiro-2014-2015-olympikus/"
"Cruzeiro","MG","2015","199.0","199","Penalty","208","218","228","189","179","169","788.0","25.25","25","10.67","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Cruzeiro","MG","2016","239.9","239","Umbro","250","262","274","227","215","203","880.0","27.16","27","6.29","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Cruzeiro","MG","2017","249.0","249","Umbro","261","273","286","236","224","211","937.0","26.57","26","2.95","2025-02-23","https://www.uol.com.br/esporte/futebol/campeonatos/brasileiro/serie-a/ultimas-noticias/2017/11/03/cruzeiro-lanca-terceiro-uniforme-que-ira-estrear-domingo-no-mineirao.htm"
"Cruzeiro","MG","2018","249.9","249","Umbro","261","273","286","236","224","211","954.0","26.1","26","3.75","2025-02-23","https://mantosdofutebol.com.br/2018/03/camisas-cruzeiro-2018-2019-umbro/"
"Cruzeiro","MG","2019","249.9","249","Umbro","261","273","286","236","224","211","998.0","24.95","24","4.31","2025-02-23","https://www.mg.superesportes.com.br/app/noticias/futebol/cruzeiro/2019/01/22/noticia_cruzeiro,562922/lojas-revelam-novas-camisas-do-cruzeiro-modelo-branco-esta-a-venda.shtml"
"Cruzeiro","MG","2020","249.99","249","Adidas","261","273","286","236","224","211","1045.0","23.83","23","4.52","2025-02-23","https://www.lance.com.br/cruzeiro/tem-nova-camisa-revelada-para-temporada-2020.html"
"Cruzeiro","MG","2021","279.99","279","Adidas","292","306","320","265","251","237","1100.0","25.36","25","10.06","2025-02-23","https://www.lance.com.br/cruzeiro/lanca-camisa-branca-centenario-com-idolos-historicos.html"
"Cruzeiro","MG","2022","299.99","299","Adidas","313","328","343","284","269","254","1212.0","24.67","24","5.79","2025-02-23","https://www.mg.superesportes.com.br/app/noticias/futebol/cruzeiro/2022/03/04/noticia_cruzeiro,3961869/cruzeiro-oficializa-novo-uniforme-e-inicia-venda-no-site-da-adidas.shtml"
"Cruzeiro","MG","2023","349.9","349","Adidas","366","383","401","331","314","296","1320.0","26.44","26","4.62","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"Cruzeiro","MG","2024","349.99","349","Adidas","366","383","401","331","314","296","1412.0","24.72","24","4.83","2025-02-23","https://www.lance.com.br/cruzeiro/apos-vazamento-cruzeiro-lanca-oficialmente-uniforme-da-temporada-2024.html"
"São Paulo","SP","2013","199.99","199","Penalty","208","218","228","189","179","169","678.0","29.35","29","5.91","2025-02-23","https://spfc.net/news.asp?nID=93086"
"São Paulo","SP","2014","229.9","229","Penalty","240","251","263","217","206","194","724.0","31.63","31","6.41","2025-02-23","https://www.uol.com.br/esporte/futebol/ultimas-noticias/2014/05/27/sao-paulo-segue-embalo-de-rivais-e-lanca-camisa-comemorativa-amarela.htm"
